mag_r   cf_ellip_step     cf_circ_step       cf_ellip_linear      cf_circ_linear       pixscale
8       10.50             11.50              10.50                11.50                5.0
9       6.10              5.80               5.90                 6.00                 4.0
10      5.10              6.10               5.10                 5.90                 3.0
11      3.15              5.30               3.50                 5.30                 2.2
12      1.90              3.90               1.80                 4.50                 1.8
13      1.10              3.80               1.00                 3.95                 1.1
14      0.75              3.40               0.75                 3.45                 0.8
15      0.60              3.85               0.60                 4.20                 0.6
16      0.50              4.10               0.45                 4.80                 0.4
17      0.40              4.60               0.35                 7.10                 0.3
18      0.30              6.90               0.30                 5.60                 0.2
19      0.22              8.50               0.22                 8.50                 0.2
