mag_r   cf_ellip_step     cf_circ_step       cf_ellip_linear      cf_circ_linear       pixscale
8       10.50             11.50              10.50                11.50                6.4
9       6.10              6.10               5.95                 6.00                 4.0
10      5.10              5.80               5.10                 5.90                 3.2
11      3.15              5.40               3.50                 5.30                 2.2
12      1.90              5.25               1.80                 5.00                 1.8
13      1.10              5.05               1.00                 4.80                 1.1
14      0.75              4.95               0.75                 4.75                 0.8
15      0.60              4.85               0.60                 4.70                 0.6
16      0.46              4.75               0.46                 4.65                 0.4
17      0.35              4.65               0.35                 4.60                 0.3
18      0.27              4.55               0.27                 4.50                 0.2
19      0.20              4.45               0.20                 4.30                 0.2
