 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 14, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Tungsten.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  1.9350E+01 g/cm3 = 6.3381E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      W     74    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
   6.00 keV   6.965E+01  1.945E+00     244 A       328 A       246 A
   6.50 keV   7.274E+01  1.922E+00     263 A       345 A       260 A
   7.00 keV   7.577E+01  1.898E+00     283 A       361 A       273 A
   8.00 keV   8.160E+01  1.852E+00     321 A       392 A       298 A
   9.00 keV   8.717E+01  1.806E+00     359 A       421 A       321 A
  10.00 keV   9.249E+01  1.763E+00     398 A       448 A       344 A
  11.00 keV   9.759E+01  1.720E+00     436 A       474 A       365 A
  12.00 keV   1.025E+02  1.680E+00     473 A       499 A       386 A
  13.00 keV   1.072E+02  1.642E+00     511 A       522 A       406 A
  14.00 keV   1.117E+02  1.605E+00     549 A       545 A       425 A
  15.00 keV   1.160E+02  1.570E+00     586 A       566 A       443 A
  16.00 keV   1.201E+02  1.537E+00     623 A       587 A       461 A
  17.00 keV   1.241E+02  1.505E+00     660 A       607 A       479 A
  18.00 keV   1.280E+02  1.475E+00     697 A       626 A       496 A
  20.00 keV   1.352E+02  1.418E+00     771 A       661 A       528 A
  22.50 keV   1.436E+02  1.354E+00     862 A       703 A       567 A
  25.00 keV   1.512E+02  1.297E+00     952 A       742 A       603 A
  27.50 keV   1.582E+02  1.244E+00    1041 A       778 A       638 A
  30.00 keV   1.646E+02  1.197E+00    1130 A       812 A       671 A
  32.50 keV   1.705E+02  1.154E+00    1219 A       844 A       703 A
  35.00 keV   1.759E+02  1.114E+00    1306 A       875 A       734 A
  37.50 keV   1.809E+02  1.077E+00    1394 A       904 A       763 A
  40.00 keV   1.854E+02  1.043E+00    1480 A       932 A       792 A
  45.00 keV   1.935E+02  9.822E-01    1653 A       984 A       848 A
  50.00 keV   2.003E+02  9.291E-01    1825 A      1032 A       900 A
  55.00 keV   2.061E+02  8.824E-01    1996 A      1077 A       951 A
  60.00 keV   2.110E+02  8.408E-01    2167 A      1120 A      1000 A
  65.00 keV   2.150E+02  8.036E-01    2337 A      1161 A      1047 A
  70.00 keV   2.184E+02  7.700E-01    2507 A      1200 A      1093 A
  80.00 keV   2.236E+02  7.117E-01    2849 A      1274 A      1182 A
  90.00 keV   2.269E+02  6.628E-01    3193 A      1342 A      1267 A
 100.00 keV   2.289E+02  6.210E-01    3539 A      1408 A      1350 A
 110.00 keV   2.299E+02  5.849E-01    3889 A      1470 A      1432 A
 120.00 keV   2.302E+02  5.533E-01    4243 A      1530 A      1512 A
 130.00 keV   2.298E+02  5.254E-01    4601 A      1589 A      1591 A
 140.00 keV   2.290E+02  5.005E-01    4964 A      1645 A      1669 A
 150.00 keV   2.279E+02  4.782E-01    5331 A      1701 A      1747 A
 160.00 keV   2.265E+02  4.580E-01    5703 A      1756 A      1825 A
 170.00 keV   2.249E+02  4.397E-01    6080 A      1809 A      1902 A
 180.00 keV   2.232E+02  4.229E-01    6463 A      1862 A      1979 A
 200.00 keV   2.194E+02  3.934E-01    7244 A      1968 A      2134 A
 225.00 keV   2.145E+02  3.625E-01    8250 A      2098 A      2328 A
 250.00 keV   2.094E+02  3.366E-01    9288 A      2227 A      2524 A
 275.00 keV   2.045E+02  3.145E-01    1.04 um     2355 A      2722 A
 300.00 keV   1.997E+02  2.955E-01    1.15 um     2483 A      2922 A
 325.00 keV   1.951E+02  2.788E-01    1.26 um     2611 A      3125 A
 350.00 keV   1.907E+02  2.641E-01    1.38 um     2739 A      3331 A
 375.00 keV   1.865E+02  2.511E-01    1.50 um     2867 A      3540 A
 400.00 keV   1.825E+02  2.394E-01    1.62 um     2996 A      3751 A
 450.00 keV   1.751E+02  2.193E-01    1.88 um     3265 A      4184 A
 500.00 keV   1.684E+02  2.026E-01    2.14 um     3536 A      4628 A
 550.00 keV   1.624E+02  1.885E-01    2.42 um     3811 A      5083 A
 600.00 keV   1.569E+02  1.764E-01    2.71 um     4089 A      5550 A
 650.00 keV   1.519E+02  1.659E-01    3.01 um     4371 A      6029 A
 700.00 keV   1.473E+02  1.567E-01    3.32 um     4657 A      6517 A
 800.00 keV   1.392E+02  1.413E-01    3.97 um     5273 A      7527 A
 900.00 keV   1.322E+02  1.289E-01    4.67 um     5900 A      8577 A
   1.00 MeV   1.262E+02  1.186E-01    5.39 um     6538 A      9664 A
   1.10 MeV   1.213E+02  1.100E-01    6.15 um     7187 A      1.08 um
   1.20 MeV   1.164E+02  1.027E-01    6.95 um     7845 A      1.19 um
   1.30 MeV   1.124E+02  9.632E-02    7.78 um     8515 A      1.31 um
   1.40 MeV   1.087E+02  9.077E-02    8.63 um     9193 A      1.43 um
   1.50 MeV   1.054E+02  8.587E-02    9.52 um     9880 A      1.56 um
   1.60 MeV   1.023E+02  8.152E-02   10.44 um     1.06 um     1.68 um
   1.70 MeV   9.939E+01  7.762E-02   11.38 um     1.13 um     1.81 um
   1.80 MeV   9.671E+01  7.410E-02   12.35 um     1.20 um     1.95 um
   2.00 MeV   9.186E+01  6.801E-02   14.37 um     1.36 um     2.22 um
   2.25 MeV   8.656E+01  6.177E-02   17.06 um     1.57 um     2.57 um
   2.50 MeV   8.196E+01  5.665E-02   19.90 um     1.78 um     2.94 um
   2.75 MeV   7.790E+01  5.237E-02   22.90 um     2.00 um     3.32 um
   3.00 MeV   7.431E+01  4.873E-02   26.05 um     2.22 um     3.72 um
   3.25 MeV   7.109E+01  4.560E-02   29.36 um     2.44 um     4.13 um
   3.50 MeV   6.819E+01  4.287E-02   32.82 um     2.67 um     4.56 um
   3.75 MeV   6.555E+01  4.047E-02   36.42 um     2.90 um     5.00 um
   4.00 MeV   6.316E+01  3.835E-02   40.17 um     3.14 um     5.45 um
   4.50 MeV   5.894E+01  3.474E-02   48.08 um     3.70 um     6.39 um
   5.00 MeV   5.534E+01  3.179E-02   56.54 um     4.28 um     7.39 um
   5.50 MeV   5.223E+01  2.934E-02   65.54 um     4.86 um     8.44 um
   6.00 MeV   4.950E+01  2.725E-02   75.06 um     5.46 um     9.53 um
   6.50 MeV   4.709E+01  2.547E-02   85.09 um     6.07 um    10.67 um
   7.00 MeV   4.495E+01  2.391E-02   95.63 um     6.70 um    11.86 um
   8.00 MeV   4.128E+01  2.134E-02  118.16 um     8.29 um    14.38 um
   9.00 MeV   3.825E+01  1.929E-02  142.62 um     9.89 um    17.07 um
  10.00 MeV   3.570E+01  1.763E-02  168.93 um    11.52 um    19.93 um
  11.00 MeV   3.351E+01  1.624E-02  197.06 um    13.19 um    22.96 um
  12.00 MeV   3.162E+01  1.507E-02  226.97 um    14.90 um    26.15 um
  13.00 MeV   2.996E+01  1.406E-02  258.62 um    16.66 um    29.50 um
  14.00 MeV   2.849E+01  1.319E-02  291.98 um    18.48 um    33.00 um
  15.00 MeV   2.718E+01  1.243E-02  327.01 um    20.34 um    36.65 um
  16.00 MeV   2.600E+01  1.175E-02  363.70 um    22.25 um    40.45 um
  17.00 MeV   2.494E+01  1.115E-02  402.01 um    24.20 um    44.40 um
  18.00 MeV   2.397E+01  1.061E-02  441.93 um    26.21 um    48.48 um
  20.00 MeV   2.227E+01  9.678E-03  526.45 um    31.47 um    57.09 um
  22.50 MeV   2.051E+01  8.733E-03  640.75 um    38.73 um    68.61 um
  25.00 MeV   1.904E+01  7.964E-03  764.43 um    46.03 um    80.95 um
  27.50 MeV   1.779E+01  7.326E-03  897.27 um    53.45 um    94.10 um
  30.00 MeV   1.673E+01  6.788E-03    1.04 mm    61.04 um   108.02 um
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom
  1.0000E+00                keV / micron
  1.0000E+00                MeV / mm
  5.1681E-04                keV / (ug/cm2)
  5.1681E-04                MeV / (mg/cm2)
  5.1681E-01                keV / (mg/cm2)
  1.5778E-01                 eV / (1E15 atoms/cm2)
  2.0102E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
