 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 14, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Tungsten.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  1.9350E+01 g/cm3 = 6.3381E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      W     74    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.926E+01  1.897E+00      50 A       107 A        77 A
   1.10 keV   3.068E+01  1.923E+00      54 A       113 A        82 A
   1.20 keV   3.205E+01  1.945E+00      58 A       119 A        87 A
   1.30 keV   3.336E+01  1.963E+00      62 A       125 A        91 A
   1.40 keV   3.462E+01  1.979E+00      66 A       131 A        95 A
   1.50 keV   3.583E+01  1.992E+00      70 A       137 A        99 A
   1.60 keV   3.701E+01  2.004E+00      74 A       142 A       103 A
   1.70 keV   3.814E+01  2.014E+00      78 A       147 A       108 A
   1.80 keV   3.925E+01  2.022E+00      82 A       153 A       111 A
   2.00 keV   4.137E+01  2.034E+00      89 A       163 A       119 A
   2.25 keV   4.339E+01  2.045E+00      99 A       175 A       128 A
   2.50 keV   4.536E+01  2.050E+00     109 A       187 A       138 A
   2.75 keV   4.729E+01  2.052E+00     118 A       199 A       146 A
   3.00 keV   4.918E+01  2.050E+00     128 A       210 A       155 A
   3.25 keV   5.104E+01  2.047E+00     138 A       221 A       163 A
   3.50 keV   5.286E+01  2.042E+00     147 A       232 A       172 A
   3.75 keV   5.465E+01  2.035E+00     157 A       243 A       180 A
   4.00 keV   5.641E+01  2.028E+00     167 A       253 A       188 A
   4.50 keV   5.986E+01  2.010E+00     186 A       273 A       203 A
   5.00 keV   6.321E+01  1.989E+00     206 A       292 A       218 A
   5.50 keV   6.647E+01  1.968E+00     225 A       310 A       232 A
