bir
ikki
uch
to‘rt
besh
olti
yetti
sakkiz
to‘qqiz
o‘n
yigirma
o‘ttiz
qirq
ellik
oltmish
yetmish
sakson
to‘qson
yuz
ming
million
milliard
trillion
trilliard
ko‘p
