卜,蔔,-1|0|萝
卜,卜
几,几,-1|0|茶,-1|0|书,-1|0|边,-1|0|角,-1|0|圆
几,幾
干,幹,-1|0|树,-1|0|躯,-1|0|支,1|2|线,-1|0|主,1|2|事,-1|3|说干就干,-3|0|说干就,1|2|活,-1|0|才,1|2|练
干,干,1|2|扰,1|2|涉,1|2|预,1|2|系,-3|0|互不相,-2|2|大动干戈,-1|0|天,1|2|支,-1|0|若
干,乾
才,才,1|2|能,-1|0|口,1|2|干,-1|0|奇,-1|0|奴,-1|0|蠢
才,纔
万,万,1|2|俟
万,萬
丰,豐,1|2|盛,1|2|碑,1|2|富,1|2|沛,1|2|饶,1|2|收
丰,丰
云,雲,-1|3|行云流水,1|4|蒸霞蔚,1|2|南,-1|0|的
云,云
历,曆,1|2|法,-1|0|日,-1|0|公,-1|0|农,-1|0|阳,-1|0|阴
历,歷
仆,仆,1|2|倒,-1|3|前仆后继
仆,僕
斗,鬥,1|2|殴,-1|0|战,1|2|勇,1|2|智,1|4|志昂扬,1|2|牛,1|3|蟋蟀,1|2|眼
斗,斗
丑,丑,-1|0|子,1|2|时,1|2|角,1|2|旦
丑,醜
术,术,-1|0|苍
术,術
叶,叶,1|2|韵
叶,葉
只,只,1|2|是,1|2|顾,1|2|管,1|2|见,1|2|有
只,隻
出,齣,1|2|戏
出,出
发,髮,-1|0|头,-1|0|鬓,-1|3|怒发冲冠,-1|0|白,-1|0|黑
发,發
台,檯,-2|0|写字,-1|0|柜
台,台,-1|2|天台山,-1|2|五台山,1|2|州
台,颱,1|2|风
台,臺
朴,樸,1|2|素,1|2|实,1|2|厚,1|2|质,-1|0|质,-1|0|俭
朴,朴
划,划,1|2|水,1|2|船,1|2|艇,1|2|算
划,劃
当,噹,1|2|当,-1|0|当
当,當
吁,籲,-1|0|呼,1|2|天
吁,吁
曲,麯,1|2|酒,-1|0|霉
曲,曲
团,糰,-1|0|饭,-1|0|菜,-1|0|米
团,團
回,迴,1|2|旋,1|2|肠,1|2|廊
回,回
朱,朱,1|2|提
朱,硃
伙,伙,1|2|食,-1|0|起,1|2|补
伙,夥
向,向,1|2|拱,1|3|敏中,1|2|朗,1|2|秀,1|2|宠,1|2|达,1|3|子諲,1|3|警予,1|3|仲华
向,嚮
后,后,-1|0|皇,-1|0|太
后,後
尽,儘,1|2|量,1|2|管,1|2|底,1|2|顶,1|2|下,1|2|上,1|2|左,1|2|右,1|2|里,1|2|外,1|2|中,1|2|东,1|2|南,1|2|西,1|2|北
尽,盡
纤,縴,1|2|夫
纤,纖
坛,罎,1|2|子,-1|0|水
坛,壇
坝,垻,-1|0|平,-1|0|留
坝,壩
折,摺,1|2|叠,1|2|扇,1|2|尺,1|2|刀,1|2|子,-1|0|存,-1|0|奏,-1|0|手,1|3|衣服,1|2|纸
折,折
克,克
克,剋
卤,鹵
卤,滷
里,里,1|2|故,1|2|返,-1|0|弄,-1|0|程,-1|0|一,-1|0|二,-1|0|三
里,裏
困,睏
困,困
别,彆,1|2|扭
别,别
余,餘,-1|0|剩,1|2|粮,1|2|兴,1|2|悸,1|2|孽,-1|0|节,1|2|生,1|2|荫,1|2|勇
余,余
谷,穀,-1|0|五,-1|0|百,1|2|物,-1|0|米,1|2|米,-1|0|稻,1|2|子
谷,谷
系,係
系,系
系,繫
沈,瀋
沈,沈
表,錶,-1|0|钟,-1|0|手,-1|0|怀
表,表
范,范
范,範
板,闆,-1|0|老
板,板
松,鬆,1|2|针,1|2|脂,1|2|香,1|2|子,1|2|树,-1|0|黑,-1|0|油,-1|0|叶,-1|0|红
松,松
郁,鬱,1|2|葱,1|2|闭,1|2|闷,1|2|悒,1|2|愤,1|2|怒,1|2|积,1|2|结,1|2|忧,-1|0|忧,-1|0|抑
郁,郁
制,製,1|2|造,1|2|做,1|2|品,1|2|图,1|2|革,1|2|版,-1|0|炮
制,制
刮,颳,1|2|风,1|2|倒
刮,刮
征,徵
征,征
舍,捨,1|2|粥,1|2|药,1|2|己,1|2|近,-1|0|四
舍,舍
卷,卷
卷,捲
帘,帘
帘,簾
弥,彌
弥,瀰
胡,鬍,1|2|须,-2|0|八字,-2|0|络腮
胡,胡
咸,鹹
咸,咸
面,麵,-1|0|米,-1|0|袋,-1|0|药,1|2|条,1|2|瓜
面,面
钟,鍾
钟,鐘
种,种
种,種
复,複,1|2|习,1|2|诊,1|2|审,1|2|现,1|2|议,-1|0|重,-1|0|繁,1|2|杂
复,復
须,鬚,1|2|眉,1|2|生,1|2|根,-1|0|触,-1|0|胡
须,須
姜,姜
姜,薑
获,穫
获,獲
恶,噁
恶,惡
致,緻,1|2|密,-1|0|精
致,致
党,党
党,黨
借,借
借,藉
脏,臟,-1|0|内,-1|0|五,-1|0|心,-1|0|肾,-1|0|肺,1|2|器
脏,髒
准,准,1|2|许,1|2|予,-1|0|批
准,準
症,症
症,癥
涂,涂,1|2|棐,1|3|凤书
涂,塗
家,傢
家,家
据,据,-1|0|拮
据,據
累,累
累,纍
旋,旋
旋,鏇
淀,淀,-1|0|沉,-1|0|积,1|2|粉
淀,澱
筑,筑
筑,築
御,禦
御,御
摆,襬,-1|0|裙,-1|0|下,-1|0|衣
摆,擺
蒙,蒙
蒙,懞
蒙,濛
蒙,矇
签,簽
签,籤
漓,灕
漓,漓
辟,闢
辟,辟
蔑,蔑
蔑,衊
篱,籬
篱,篱
芸,蕓,1|2|薹
芸,芸
