,used.max_epochs,generated.loss,generated.accuracy,generated.responsible_ai_metadata.shap_sum,generated.responsible_ai_metadata.flops,generated.responsible_ai_metadata.params,generated.responsible_ai_metadata.max_width,generated.responsible_ai_metadata.depth,generated.responsible_ai_metadata.n_fc_layers,generated.responsible_ai_metadata.n_cv_layers,telemetry_diff.cpu.times_avg.user,telemetry_diff.cpu.times_avg.system,telemetry_diff.cpu.times_avg.idle,telemetry_diff.process.memory.rss,telemetry_diff.process.memory.vms,telemetry_diff.process.memory.pfaults,telemetry_diff.process.memory.pageins,telemetry_diff.process.cpu_times.user,telemetry_diff.process.cpu_times.system,telemetry_diff.memory.virtual.available,telemetry_diff.memory.virtual.used,telemetry_diff.memory.virtual.free,telemetry_diff.memory.virtual.active,telemetry_diff.memory.virtual.inactive,telemetry_diff.memory.virtual.wired,telemetry_diff.memory.swap.total,telemetry_diff.memory.swap.used,telemetry_diff.memory.swap.free,telemetry_diff.memory.swap.sin,telemetry_diff.memory.swap.sout,telemetry_diff.disk.disk_usage.free,used.conv_in_outs_sum,used.conv_kernel_sizes_sum,used.conv_pool_sizes_sum,used.fc_in_outs_sum,used.softmax_dims_sum,telemetry_diff.network.activity,telemetry_diff.disk.activity,telemetry_diff.process.activity
0,1.0,0.014728536784648895,40.75,0.0,21880192.0,162990.0,100.0,12.0,5.0,7.0,397.4499999999971,155.3100000000013,16.699999999953434,2720251904.0,4253073408.0,7128964.0,39.0,314.642169344,60.419478912,-779124736.0,-900841472.0,119111680.0,-967688192.0,-746061824.0,66846720.0,1073741824.0,577437696.0,496304128.0,371359744.0,5390336.0,-1067229184.0,41.0,29.0,2.0,220.0,1.0,156472.4375,171472968.0,1997778.0
1,1.0,0.040325844478607174,11.35,0.0,47275136.0,359840.0,400.0,16.0,9.0,7.0,411.41999999999825,159.40999999999985,17.17000000004191,2675638272.0,4349198336.0,7289754.0,39.0,326.14157747200005,62.117328288,-930316288.0,-887881728.0,12861440.0,-937263104.0,-792707072.0,49381376.0,1073741824.0,577437696.0,496304128.0,373030912.0,5390336.0,-1067397120.0,41.0,29.0,2.0,1620.0,3.0,162635.8125,172406277.0,2044184.0
2,1.0,0.05815730080604553,11.35,0.0,5405073024.0,42184840.0,4000.0,24.0,17.0,7.0,1179.7599999999948,401.4300000000003,50.68000000005122,2231304192.0,3327492096.0,17076525.0,39.0,942.530430464,153.566138432,-159088640.0,-1295351808.0,751190016.0,-1227440128.0,-747388928.0,-67911680.0,1073741824.0,560660480.0,513081344.0,738394112.0,14172160.0,-1065861120.0,41.0,29.0,2.0,32020.0,7.0,369630.8125,251856855.0,4531840.0
3,1.0,0.018241909003257752,10.28,0.0,324195712.0,1890690.0,100.0,16.0,5.0,11.0,1862.6100000000006,579.5999999999985,114.22000000003027,2189475840.0,3818635264.0,23538438.0,39.0,1486.561319424,216.581898688,-693305344.0,-804503552.0,55394304.0,-755220480.0,-590577664.0,-49283072.0,1073741824.0,552271872.0,521469952.0,803258368.0,21512192.0,-1069760512.0,181.0,30.0,3.0,260.0,1.0,650028.625,272619547.0,6284750.0
4,1.0,0.040312224340438844,11.35,0.0,349846656.0,2089540.0,400.0,20.0,9.0,11.0,1875.5800000000017,582.4599999999991,115.87000000005355,2155741184.0,3380838400.0,23604991.0,37.0,1496.636215552,217.575447296,-489193472.0,-862502912.0,309952512.0,-788512768.0,-642940928.0,-73990144.0,1073741824.0,552271872.0,521469952.0,819249152.0,22134784.0,-1070206976.0,181.0,30.0,3.0,1660.0,3.0,652738.75,275295002.8333333,6311004.0
5,1.0,0.05813799858093262,11.35,0.0,5709692544.0,43930540.0,4000.0,28.0,17.0,11.0,2384.9100000000035,701.8199999999997,252.69000000000233,2042101760.0,3384459264.0,27004118.0,37.0,1888.629006592,255.444219456,-567836672.0,-731906048.0,224264192.0,-695762944.0,-632913920.0,-36143104.0,1073741824.0,552271872.0,521469952.0,884097024.0,29392896.0,-1060265984.0,181.0,30.0,3.0,32060.0,7.0,799624.5,295061285.8333333,7313349.0
6,1.0,0.018207813382148743,10.09,0.0,1810792832.0,8485880.0,120.0,20.0,5.0,15.0,4169.770000000004,1086.2099999999991,1084.350000000035,968032256.0,2068332544.0,35022644.0,37.0,3220.7134123520004,354.79103712,-17186816.0,-623886336.0,534364160.0,-553648128.0,-393068544.0,-70238208.0,1073741824.0,543883264.0,529858560.0,1058029568.0,49823744.0,-1066872832.0,481.0,31.0,4.0,320.0,1.0,1362017.5625,347619554.0,10075678.0
7,1.0,0.04012699522972107,11.35,0.0,1836827776.0,8687730.0,400.0,24.0,9.0,15.0,4172.880000000005,1086.9700000000012,1087.1500000000233,1305690112.0,2392899584.0,35045100.0,37.0,3222.663728896,354.923501504,-17170432.0,-623886336.0,534364160.0,-553648128.0,-393052160.0,-70238208.0,1073741824.0,543883264.0,529858560.0,1058029568.0,49823744.0,-1067188224.0,481.0,31.0,4.0,1720.0,3.0,1363559.3125,345680791.6666667,10079114.0
8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.0,31.0,4.0,32120.0,7.0,,,0.0
