 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 11, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Triton in Aluminum.txt

 Ion = Hydrogen [1] , Mass = 3.008 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
   6.00 keV   3.618E+01  4.220E+00    1060 A       576 A       493 A
   6.50 keV   3.749E+01  4.051E+00    1143 A       602 A       519 A
   7.00 keV   3.875E+01  3.897E+00    1226 A       627 A       545 A
   8.00 keV   4.112E+01  3.628E+00    1390 A       673 A       594 A
   9.00 keV   4.332E+01  3.398E+00    1551 A       714 A       639 A
  10.00 keV   4.540E+01  3.200E+00    1710 A       752 A       682 A
  11.00 keV   4.737E+01  3.027E+00    1865 A       788 A       722 A
  12.00 keV   4.925E+01  2.875E+00    2018 A       820 A       760 A
  13.00 keV   5.107E+01  2.739E+00    2168 A       850 A       796 A
  14.00 keV   5.283E+01  2.617E+00    2315 A       878 A       830 A
  15.00 keV   5.453E+01  2.507E+00    2460 A       904 A       863 A
  16.00 keV   5.619E+01  2.408E+00    2603 A       929 A       894 A
  17.00 keV   5.781E+01  2.317E+00    2743 A       952 A       923 A
  18.00 keV   5.938E+01  2.233E+00    2881 A       974 A       952 A
  20.00 keV   6.243E+01  2.085E+00    3151 A      1014 A      1005 A
  22.50 keV   6.605E+01  1.929E+00    3476 A      1058 A      1066 A
  25.00 keV   6.947E+01  1.798E+00    3790 A      1098 A      1122 A
  27.50 keV   7.270E+01  1.685E+00    4094 A      1133 A      1173 A
  30.00 keV   7.575E+01  1.587E+00    4388 A      1164 A      1220 A
  32.50 keV   7.865E+01  1.501E+00    4674 A      1193 A      1264 A
  35.00 keV   8.138E+01  1.425E+00    4953 A      1219 A      1305 A
  37.50 keV   8.397E+01  1.357E+00    5224 A      1243 A      1343 A
  40.00 keV   8.643E+01  1.296E+00    5490 A      1266 A      1379 A
  45.00 keV   9.095E+01  1.191E+00    6004 A      1306 A      1446 A
  50.00 keV   9.501E+01  1.103E+00    6500 A      1342 A      1506 A
  55.00 keV   9.866E+01  1.029E+00    6980 A      1374 A      1560 A
  60.00 keV   1.019E+02  9.647E-01    7446 A      1402 A      1611 A
  65.00 keV   1.049E+02  9.089E-01    7901 A      1428 A      1657 A
  70.00 keV   1.075E+02  8.599E-01    8345 A      1452 A      1701 A
  80.00 keV   1.121E+02  7.774E-01    9211 A      1496 A      1781 A
  90.00 keV   1.157E+02  7.107E-01    1.01 um     1535 A      1853 A
 100.00 keV   1.186E+02  6.555E-01    1.09 um     1570 A      1918 A
 110.00 keV   1.209E+02  6.089E-01    1.17 um     1602 A      1979 A
 120.00 keV   1.227E+02  5.691E-01    1.25 um     1631 A      2036 A
 130.00 keV   1.241E+02  5.346E-01    1.33 um     1659 A      2090 A
 140.00 keV   1.252E+02  5.044E-01    1.40 um     1684 A      2142 A
 150.00 keV   1.259E+02  4.777E-01    1.48 um     1709 A      2191 A
 160.00 keV   1.264E+02  4.539E-01    1.56 um     1732 A      2238 A
 170.00 keV   1.267E+02  4.326E-01    1.64 um     1754 A      2283 A
 180.00 keV   1.269E+02  4.134E-01    1.71 um     1775 A      2328 A
 200.00 keV   1.267E+02  3.800E-01    1.87 um     1823 A      2413 A
 225.00 keV   1.259E+02  3.457E-01    2.06 um     1883 A      2515 A
 250.00 keV   1.247E+02  3.175E-01    2.26 um     1940 A      2612 A
 275.00 keV   1.231E+02  2.938E-01    2.46 um     1996 A      2707 A
 300.00 keV   1.215E+02  2.737E-01    2.66 um     2050 A      2800 A
 325.00 keV   1.197E+02  2.564E-01    2.86 um     2103 A      2892 A
 350.00 keV   1.178E+02  2.413E-01    3.07 um     2156 A      2983 A
 375.00 keV   1.160E+02  2.280E-01    3.28 um     2209 A      3073 A
 400.00 keV   1.141E+02  2.161E-01    3.50 um     2261 A      3162 A
 450.00 keV   1.105E+02  1.961E-01    3.94 um     2406 A      3342 A
 500.00 keV   1.070E+02  1.796E-01    4.40 um     2551 A      3522 A
 550.00 keV   1.037E+02  1.659E-01    4.87 um     2695 A      3704 A
 600.00 keV   1.006E+02  1.543E-01    5.35 um     2839 A      3888 A
 650.00 keV   9.768E+01  1.443E-01    5.85 um     2985 A      4074 A
 700.00 keV   9.496E+01  1.356E-01    6.37 um     3131 A      4264 A
 800.00 keV   9.002E+01  1.211E-01    7.44 um     3589 A      4653 A
 900.00 keV   8.566E+01  1.096E-01    8.58 um     4038 A      5055 A
   1.00 MeV   8.179E+01  1.003E-01    9.76 um     4480 A      5471 A
   1.10 MeV   7.834E+01  9.244E-02   11.01 um     4920 A      5901 A
   1.20 MeV   7.525E+01  8.583E-02   12.30 um     5358 A      6344 A
   1.30 MeV   7.245E+01  8.015E-02   13.65 um     5797 A      6800 A
   1.40 MeV   6.991E+01  7.522E-02   15.05 um     6236 A      7269 A
   1.50 MeV   6.759E+01  7.090E-02   16.50 um     6677 A      7750 A
   1.60 MeV   6.546E+01  6.707E-02   18.00 um     7119 A      8244 A
   1.70 MeV   6.350E+01  6.366E-02   19.54 um     7564 A      8750 A
   1.80 MeV   6.169E+01  6.060E-02   21.13 um     8011 A      9267 A
   2.00 MeV   5.844E+01  5.533E-02   24.45 um     9505 A      1.03 um
   2.25 MeV   5.496E+01  4.997E-02   28.85 um     1.16 um     1.17 um
   2.50 MeV   5.198E+01  4.560E-02   33.51 um     1.36 um     1.32 um
   2.75 MeV   4.940E+01  4.198E-02   38.43 um     1.56 um     1.47 um
   3.00 MeV   4.713E+01  3.891E-02   43.59 um     1.74 um     1.63 um
   3.25 MeV   4.496E+01  3.629E-02   49.01 um     1.93 um     1.79 um
   3.50 MeV   4.279E+01  3.401E-02   54.69 um     2.12 um     1.96 um
   3.75 MeV   4.083E+01  3.202E-02   60.66 um     2.31 um     2.14 um
   4.00 MeV   3.915E+01  3.026E-02   66.89 um     2.51 um     2.32 um
   4.50 MeV   3.623E+01  2.729E-02   80.13 um     3.18 um     2.71 um
   5.00 MeV   3.377E+01  2.488E-02   94.39 um     3.82 um     3.12 um
   5.50 MeV   3.166E+01  2.287E-02  109.65 um     4.45 um     3.55 um
   6.00 MeV   2.982E+01  2.118E-02  125.89 um     5.07 um     4.01 um
   6.50 MeV   2.822E+01  1.974E-02  143.08 um     5.68 um     4.49 um
   7.00 MeV   2.680E+01  1.849E-02  161.22 um     6.30 um     5.00 um
   8.00 MeV   2.440E+01  1.643E-02  200.25 um     8.50 um     6.07 um
   9.00 MeV   2.244E+01  1.480E-02  242.91 um    10.55 um     7.23 um
  10.00 MeV   2.080E+01  1.347E-02  289.11 um    12.54 um     8.48 um
  11.00 MeV   1.942E+01  1.238E-02  338.78 um    14.51 um     9.81 um
  12.00 MeV   1.822E+01  1.145E-02  391.84 um    16.48 um    11.22 um
  13.00 MeV   1.718E+01  1.066E-02  448.25 um    18.47 um    12.71 um
  14.00 MeV   1.627E+01  9.982E-03  507.95 um    20.48 um    14.27 um
  15.00 MeV   1.546E+01  9.385E-03  570.89 um    22.51 um    15.91 um
  16.00 MeV   1.473E+01  8.859E-03  637.03 um    24.56 um    17.63 um
  17.00 MeV   1.408E+01  8.391E-03  706.33 um    26.65 um    19.42 um
  18.00 MeV   1.349E+01  7.972E-03  778.75 um    28.76 um    21.28 um
  20.00 MeV   1.246E+01  7.253E-03  932.77 um    36.47 um    25.21 um
  22.50 MeV   1.139E+01  6.525E-03    1.14 mm    47.47 um    30.52 um
  25.00 MeV   1.051E+01  5.935E-03    1.37 mm    57.90 um    36.26 um
  27.50 MeV   9.773E+00  5.447E-03    1.62 mm    68.10 um    42.41 um
  30.00 MeV   9.139E+00  5.037E-03    1.88 mm    78.25 um    48.97 um
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom
  1.0000E+00                keV / micron
  1.0000E+00                MeV / mm
  3.7011E-03                keV / (ug/cm2)
  3.7011E-03                MeV / (mg/cm2)
  3.7011E+00                keV / (mg/cm2)
  1.6582E-01                 eV / (1E15 atoms/cm2)
  3.8403E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
