 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 11, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Triton in Aluminum.txt

 Ion = Hydrogen [1] , Mass = 3.008 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Al     13    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.477E+01  7.787E+00     182 A       174 A       132 A
   1.10 keV   1.549E+01  7.658E+00     200 A       186 A       142 A
   1.20 keV   1.618E+01  7.530E+00     217 A       199 A       152 A
   1.30 keV   1.684E+01  7.404E+00     235 A       210 A       162 A
   1.40 keV   1.748E+01  7.281E+00     253 A       222 A       171 A
   1.50 keV   1.809E+01  7.161E+00     271 A       233 A       180 A
   1.60 keV   1.868E+01  7.045E+00     289 A       244 A       189 A
   1.70 keV   1.926E+01  6.932E+00     307 A       255 A       198 A
   1.80 keV   1.982E+01  6.822E+00     324 A       266 A       207 A
   2.00 keV   2.089E+01  6.613E+00     360 A       286 A       224 A
   2.25 keV   2.215E+01  6.371E+00     405 A       310 A       245 A
   2.50 keV   2.335E+01  6.147E+00     450 A       334 A       265 A
   2.75 keV   2.449E+01  5.940E+00     495 A       356 A       284 A
   3.00 keV   2.558E+01  5.749E+00     539 A       377 A       303 A
   3.25 keV   2.663E+01  5.571E+00     584 A       397 A       321 A
   3.50 keV   2.763E+01  5.406E+00     628 A       417 A       339 A
   3.75 keV   2.860E+01  5.252E+00     672 A       435 A       356 A
   4.00 keV   2.954E+01  5.108E+00     716 A       453 A       373 A
   4.50 keV   3.133E+01  4.846E+00     803 A       487 A       405 A
   5.00 keV   3.303E+01  4.614E+00     890 A       519 A       436 A
   5.50 keV   3.464E+01  4.406E+00     975 A       548 A       465 A
