 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 14, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Tantalum.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  1.6601E+01 g/cm3 = 5.5248E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Ta     73    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
   6.00 keV   6.313E+01  1.699E+00     279 A       359 A       271 A
   6.50 keV   6.543E+01  1.678E+00     301 A       378 A       286 A
   7.00 keV   6.763E+01  1.658E+00     324 A       397 A       301 A
   8.00 keV   7.179E+01  1.616E+00     368 A       433 A       330 A
   9.00 keV   7.569E+01  1.576E+00     413 A       466 A       357 A
  10.00 keV   7.936E+01  1.537E+00     459 A       499 A       384 A
  11.00 keV   8.283E+01  1.500E+00     504 A       530 A       410 A
  12.00 keV   8.614E+01  1.465E+00     549 A       560 A       435 A
  13.00 keV   8.929E+01  1.431E+00     594 A       589 A       459 A
  14.00 keV   9.231E+01  1.398E+00     640 A       616 A       483 A
  15.00 keV   9.521E+01  1.368E+00     685 A       643 A       506 A
  16.00 keV   9.800E+01  1.338E+00     730 A       669 A       529 A
  17.00 keV   1.007E+02  1.311E+00     775 A       694 A       551 A
  18.00 keV   1.033E+02  1.284E+00     821 A       718 A       572 A
  20.00 keV   1.082E+02  1.234E+00     911 A       764 A       614 A
  22.50 keV   1.140E+02  1.178E+00    1024 A       818 A       663 A
  25.00 keV   1.194E+02  1.128E+00    1136 A       869 A       711 A
  27.50 keV   1.244E+02  1.082E+00    1247 A       917 A       756 A
  30.00 keV   1.291E+02  1.040E+00    1358 A       962 A       800 A
  32.50 keV   1.335E+02  1.003E+00    1468 A      1005 A       842 A
  35.00 keV   1.377E+02  9.678E-01    1578 A      1046 A       883 A
  37.50 keV   1.416E+02  9.357E-01    1687 A      1085 A       922 A
  40.00 keV   1.453E+02  9.061E-01    1796 A      1122 A       960 A
  45.00 keV   1.522E+02  8.530E-01    2011 A      1192 A      1033 A
  50.00 keV   1.583E+02  8.067E-01    2225 A      1257 A      1102 A
  55.00 keV   1.637E+02  7.659E-01    2437 A      1317 A      1168 A
  60.00 keV   1.686E+02  7.297E-01    2647 A      1373 A      1231 A
  65.00 keV   1.729E+02  6.973E-01    2856 A      1427 A      1291 A
  70.00 keV   1.767E+02  6.680E-01    3064 A      1477 A      1350 A
  80.00 keV   1.830E+02  6.173E-01    3478 A      1571 A      1462 A
  90.00 keV   1.878E+02  5.747E-01    3891 A      1658 A      1568 A
 100.00 keV   1.913E+02  5.384E-01    4303 A      1739 A      1670 A
 110.00 keV   1.937E+02  5.070E-01    4716 A      1816 A      1768 A
 120.00 keV   1.952E+02  4.796E-01    5131 A      1889 A      1864 A
 130.00 keV   1.960E+02  4.553E-01    5550 A      1959 A      1957 A
 140.00 keV   1.961E+02  4.337E-01    5972 A      2026 A      2049 A
 150.00 keV   1.958E+02  4.143E-01    6398 A      2092 A      2140 A
 160.00 keV   1.950E+02  3.968E-01    6829 A      2156 A      2230 A
 170.00 keV   1.940E+02  3.809E-01    7265 A      2218 A      2319 A
 180.00 keV   1.927E+02  3.664E-01    7707 A      2280 A      2408 A
 200.00 keV   1.897E+02  3.408E-01    8609 A      2401 A      2586 A
 225.00 keV   1.854E+02  3.139E-01    9770 A      2551 A      2808 A
 250.00 keV   1.809E+02  2.914E-01    1.10 um     2698 A      3032 A
 275.00 keV   1.765E+02  2.723E-01    1.22 um     2844 A      3259 A
 300.00 keV   1.723E+02  2.558E-01    1.35 um     2989 A      3488 A
 325.00 keV   1.683E+02  2.413E-01    1.48 um     3135 A      3720 A
 350.00 keV   1.645E+02  2.286E-01    1.62 um     3281 A      3956 A
 375.00 keV   1.609E+02  2.173E-01    1.76 um     3427 A      4195 A
 400.00 keV   1.575E+02  2.072E-01    1.90 um     3574 A      4437 A
 450.00 keV   1.512E+02  1.898E-01    2.19 um     3879 A      4932 A
 500.00 keV   1.456E+02  1.753E-01    2.50 um     4187 A      5440 A
 550.00 keV   1.405E+02  1.631E-01    2.83 um     4499 A      5961 A
 600.00 keV   1.358E+02  1.526E-01    3.16 um     4814 A      6494 A
 650.00 keV   1.315E+02  1.435E-01    3.51 um     5134 A      7041 A
 700.00 keV   1.275E+02  1.356E-01    3.87 um     5458 A      7599 A
 800.00 keV   1.204E+02  1.222E-01    4.62 um     6158 A      8754 A
 900.00 keV   1.141E+02  1.115E-01    5.42 um     6872 A      9957 A
   1.00 MeV   1.085E+02  1.026E-01    6.27 um     7603 A      1.12 um
   1.10 MeV   1.044E+02  9.514E-02    7.15 um     8347 A      1.25 um
   1.20 MeV   1.003E+02  8.878E-02    8.07 um     9103 A      1.38 um
   1.30 MeV   9.684E+01  8.328E-02    9.04 um     9870 A      1.52 um
   1.40 MeV   9.366E+01  7.848E-02   10.03 um     1.06 um     1.66 um
   1.50 MeV   9.072E+01  7.424E-02   11.06 um     1.14 um     1.80 um
   1.60 MeV   8.802E+01  7.047E-02   12.12 um     1.22 um     1.95 um
   1.70 MeV   8.551E+01  6.710E-02   13.22 um     1.31 um     2.10 um
   1.80 MeV   8.318E+01  6.406E-02   14.35 um     1.39 um     2.25 um
   2.00 MeV   7.896E+01  5.879E-02   16.71 um     1.57 um     2.56 um
   2.25 MeV   7.439E+01  5.339E-02   19.83 um     1.81 um     2.97 um
   2.50 MeV   7.043E+01  4.896E-02   23.14 um     2.06 um     3.40 um
   2.75 MeV   6.696E+01  4.526E-02   26.63 um     2.31 um     3.84 um
   3.00 MeV   6.389E+01  4.211E-02   30.30 um     2.56 um     4.30 um
   3.25 MeV   6.114E+01  3.940E-02   34.15 um     2.82 um     4.78 um
   3.50 MeV   5.867E+01  3.705E-02   38.17 um     3.08 um     5.27 um
   3.75 MeV   5.642E+01  3.497E-02   42.36 um     3.35 um     5.78 um
   4.00 MeV   5.438E+01  3.314E-02   46.71 um     3.63 um     6.30 um
   4.50 MeV   5.077E+01  3.002E-02   55.90 um     4.28 um     7.39 um
   5.00 MeV   4.770E+01  2.747E-02   65.72 um     4.95 um     8.54 um
   5.50 MeV   4.503E+01  2.535E-02   76.16 um     5.62 um     9.75 um
   6.00 MeV   4.269E+01  2.355E-02   87.21 um     6.31 um    11.01 um
   6.50 MeV   4.063E+01  2.200E-02   98.85 um     7.01 um    12.33 um
   7.00 MeV   3.878E+01  2.066E-02  111.06 um     7.74 um    13.70 um
   8.00 MeV   3.562E+01  1.843E-02  137.19 um     9.57 um    16.59 um
   9.00 MeV   3.300E+01  1.667E-02  165.54 um    11.41 um    19.69 um
  10.00 MeV   3.080E+01  1.523E-02  196.05 um    13.29 um    22.99 um
  11.00 MeV   2.891E+01  1.403E-02  228.68 um    15.22 um    26.47 um
  12.00 MeV   2.727E+01  1.302E-02  263.36 um    17.19 um    30.15 um
  13.00 MeV   2.583E+01  1.215E-02  300.08 um    19.23 um    34.00 um
  14.00 MeV   2.456E+01  1.139E-02  338.79 um    21.31 um    38.04 um
  15.00 MeV   2.342E+01  1.073E-02  379.45 um    23.46 um    42.24 um
  16.00 MeV   2.240E+01  1.015E-02  422.04 um    25.66 um    46.63 um
  17.00 MeV   2.148E+01  9.628E-03  466.52 um    27.92 um    51.18 um
  18.00 MeV   2.064E+01  9.161E-03  512.88 um    30.24 um    55.89 um
  20.00 MeV   1.917E+01  8.358E-03  611.08 um    36.32 um    65.82 um
  22.50 MeV   1.765E+01  7.541E-03  743.92 um    44.74 um    79.12 um
  25.00 MeV   1.637E+01  6.878E-03  887.73 um    53.20 um    93.38 um
  27.50 MeV   1.530E+01  6.327E-03    1.04 mm    61.80 um   108.58 um
  30.00 MeV   1.438E+01  5.862E-03    1.21 mm    70.59 um   124.68 um
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom
  1.0000E+00                keV / micron
  1.0000E+00                MeV / mm
  6.0239E-04                keV / (ug/cm2)
  6.0239E-04                MeV / (mg/cm2)
  6.0239E-01                keV / (mg/cm2)
  1.8100E-01                 eV / (1E15 atoms/cm2)
  2.2912E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
