 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 14, 2023
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Tantalum.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  1.6601E+01 g/cm3 = 5.5248E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
     Ta     73    100.00    100.00
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.765E+01  1.665E+00      58 A       117 A        85 A
   1.10 keV   2.900E+01  1.687E+00      62 A       124 A        90 A
   1.20 keV   3.029E+01  1.706E+00      67 A       131 A        95 A
   1.30 keV   3.152E+01  1.722E+00      71 A       137 A       100 A
   1.40 keV   3.271E+01  1.736E+00      76 A       144 A       105 A
   1.50 keV   3.386E+01  1.747E+00      80 A       150 A       109 A
   1.60 keV   3.497E+01  1.757E+00      85 A       156 A       114 A
   1.70 keV   3.605E+01  1.765E+00      89 A       162 A       118 A
   1.80 keV   3.709E+01  1.772E+00      93 A       167 A       122 A
   2.00 keV   3.910E+01  1.783E+00     102 A       179 A       131 A
   2.25 keV   4.111E+01  1.791E+00     113 A       192 A       141 A
   2.50 keV   4.301E+01  1.795E+00     124 A       205 A       151 A
   2.75 keV   4.482E+01  1.796E+00     135 A       218 A       161 A
   3.00 keV   4.654E+01  1.795E+00     146 A       230 A       170 A
   3.25 keV   4.819E+01  1.792E+00     157 A       242 A       179 A
   3.50 keV   4.977E+01  1.787E+00     168 A       254 A       188 A
   3.75 keV   5.129E+01  1.781E+00     179 A       265 A       197 A
   4.00 keV   5.277E+01  1.774E+00     190 A       276 A       206 A
   4.50 keV   5.557E+01  1.757E+00     212 A       298 A       223 A
   5.00 keV   5.822E+01  1.739E+00     234 A       319 A       239 A
   5.50 keV   6.074E+01  1.719E+00     257 A       340 A       255 A
