	ligand	receptor	annotation	pathway
AGRN|DAG1	AGRN	DAG1	ECM-Receptor	AGRN
ANGPTL3|ITGAV_ITGB3	ANGPTL3	ITGAV_ITGB3	Secreted	ANGPTL
ANGPTL4|ITGAV_ITGB3	ANGPTL4	ITGAV_ITGB3	Secreted	ANGPTL
AREG|ERBB2_EGFR	AREG	ERBB2_EGFR	Secreted	EGF
BTC|ERBB2_EGFR	BTC	ERBB2_EGFR	Secreted	EGF
BTC|ERBB2_ERBB4	BTC	ERBB2_ERBB4	Secreted	EGF
BTC|ERBB4	BTC	ERBB4	Secreted	EGF
C1QL2|ADGRB3	C1QL2	ADGRB3	Cell-Cell Contact	ADGRB
C1QL3|ADGRB3	C1QL3	ADGRB3	Cell-Cell Contact	ADGRB
CALCA|CALCR	CALCA	CALCR	Secreted	CALCR
CALCA|CALCRL	CALCA	CALCRL	Secreted	CALCR
CALCA|CALCR_RAMP1	CALCA	CALCR_RAMP1	Secreted	CALC
CALCA|RAMP2_CALCR	CALCA	RAMP2_CALCR	Secreted	CALC
CALCA|RAMP3_CALCR	CALCA	RAMP3_CALCR	Secreted	CALC
CALCB|CALCR	CALCB	CALCR	Secreted	CALCR
CALCB|CALCRL	CALCB	CALCRL	Secreted	CALCR
CALCB|CALCR_RAMP1	CALCB	CALCR_RAMP1	Secreted	CALC
CALCB|RAMP2_CALCR	CALCB	RAMP2_CALCR	Secreted	CALC
CALCB|RAMP3_CALCR	CALCB	RAMP3_CALCR	Secreted	CALC
CD40LG|ITGA2B_ITGB3	CD40LG	ITGA2B_ITGB3	Secreted	CD40
COMP|ITGAV_ITGB3	COMP	ITGAV_ITGB3	ECM-Receptor	THBS
CYP19A1|GPER1	CYP19A1	GPER1	Non-protein Signaling	Estradiol
DAGLA|CNR1	DAGLA	CNR1	Non-protein Signaling	2-AG
DAGLA|CNR2	DAGLA	CNR2	Non-protein Signaling	2-AG
DAGLA|GPR55	DAGLA	GPR55	Non-protein Signaling	2-AG
DAGLB|CNR1	DAGLB	CNR1	Non-protein Signaling	2-AG
DAGLB|CNR2	DAGLB	CNR2	Non-protein Signaling	2-AG
DAGLB|GPR55	DAGLB	GPR55	Non-protein Signaling	2-AG
DBH_SLC6A2|ADRA1A	DBH_SLC6A2	ADRA1A	Non-protein Signaling	Noradrenaline
DBH_SLC6A2|ADRA1B	DBH_SLC6A2	ADRA1B	Non-protein Signaling	Noradrenaline
DBH_SLC6A2|ADRA1D	DBH_SLC6A2	ADRA1D	Non-protein Signaling	Noradrenaline
DBH_SLC6A2|ADRA2A	DBH_SLC6A2	ADRA2A	Non-protein Signaling	Noradrenaline
DBH_SLC6A2|ADRA2B	DBH_SLC6A2	ADRA2B	Non-protein Signaling	Noradrenaline
DBH_SLC6A2|ADRA2C	DBH_SLC6A2	ADRA2C	Non-protein Signaling	Noradrenaline
DBH_SLC6A2|ADRB1	DBH_SLC6A2	ADRB1	Non-protein Signaling	Noradrenaline
DBH_SLC6A2|ADRB2	DBH_SLC6A2	ADRB2	Non-protein Signaling	Noradrenaline
DBH_SLC6A2|ADRB3	DBH_SLC6A2	ADRB3	Non-protein Signaling	Noradrenaline
DDC|DRD1	DDC	DRD1	Non-protein Signaling	SerotoninDopamin
DDC|DRD2	DDC	DRD2	Non-protein Signaling	SerotoninDopamin
DDC|DRD3	DDC	DRD3	Non-protein Signaling	SerotoninDopamin
DDC|DRD4	DDC	DRD4	Non-protein Signaling	SerotoninDopamin
DDC|DRD5	DDC	DRD5	Non-protein Signaling	SerotoninDopamin
DDC|HTR1A	DDC	HTR1A	Non-protein Signaling	SerotoninDopamin
DDC|HTR1B	DDC	HTR1B	Non-protein Signaling	SerotoninDopamin
DDC|HTR1D	DDC	HTR1D	Non-protein Signaling	SerotoninDopamin
DDC|HTR1E	DDC	HTR1E	Non-protein Signaling	SerotoninDopamin
DDC|HTR1F	DDC	HTR1F	Non-protein Signaling	SerotoninDopamin
DDC|HTR2A	DDC	HTR2A	Non-protein Signaling	SerotoninDopamin
DDC|HTR2B	DDC	HTR2B	Non-protein Signaling	SerotoninDopamin
DDC|HTR2C	DDC	HTR2C	Non-protein Signaling	SerotoninDopamin
DDC|HTR3A	DDC	HTR3A	Non-protein Signaling	SerotoninDopamin
DDC|HTR3B	DDC	HTR3B	Non-protein Signaling	SerotoninDopamin
DDC|HTR3C	DDC	HTR3C	Non-protein Signaling	SerotoninDopamin
