	ligand	receptor	annotation	pathway
DDC|HTR3D	DDC	HTR3D	Non-protein Signaling	SerotoninDopamin
DDC|HTR3E	DDC	HTR3E	Non-protein Signaling	SerotoninDopamin
DDC|HTR4	DDC	HTR4	Non-protein Signaling	SerotoninDopamin
DDC|HTR5A	DDC	HTR5A	Non-protein Signaling	SerotoninDopamin
DDC|HTR6	DDC	HTR6	Non-protein Signaling	SerotoninDopamin
DDC|HTR7	DDC	HTR7	Non-protein Signaling	SerotoninDopamin
DMP1|ITGAV_ITGB3	DMP1	ITGAV_ITGB3	ECM-Receptor	DMP1
EFNB2|EPHA4	EFNB2	EPHA4	Cell-Cell Contact	EPHB
EFNB2|EPHB1	EFNB2	EPHB1	Cell-Cell Contact	EPHB
EFNB2|EPHB2	EFNB2	EPHB2	Cell-Cell Contact	EPHB
EFNB2|EPHB3	EFNB2	EPHB3	Cell-Cell Contact	EPHB
EFNB2|EPHB4	EFNB2	EPHB4	Cell-Cell Contact	EPHB
EGF|ERBB2_EGFR	EGF	ERBB2_EGFR	Secreted	EGF
EREG|ERBB2_EGFR	EREG	ERBB2_EGFR	Secreted	EGF
EREG|ERBB2_ERBB4	EREG	ERBB2_ERBB4	Secreted	EGF
EREG|ERBB4	EREG	ERBB4	Secreted	EGF
FCER2|ITGAV_ITGB3	FCER2	ITGAV_ITGB3	Cell-Cell Contact	CD23
FN1|ITGA2B_ITGB3	FN1	ITGA2B_ITGB3	ECM-Receptor	FN1
FN1|ITGAV_ITGB3	FN1	ITGAV_ITGB3	ECM-Receptor	FN1
GAD1_SLC6A1|GABBR1	GAD1_SLC6A1	GABBR1	Non-protein Signaling	GABA-B
GAD1_SLC6A1|GABBR2	GAD1_SLC6A1	GABBR2	Non-protein Signaling	GABA-B
GAD1_SLC6A1|GABRA1_GABRB2	GAD1_SLC6A1	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA1_GABRB3	GAD1_SLC6A1	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA1_GABRD_GABRB2	GAD1_SLC6A1	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA1_GABRG2_GABRB2	GAD1_SLC6A1	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA1_GABRG2_GABRB3	GAD1_SLC6A1	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA2_GABRG2_GABRB3	GAD1_SLC6A1	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA3_GABRE_GABRB3	GAD1_SLC6A1	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA3_GABRG2_GABRB3	GAD1_SLC6A1	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA4_GABRD_GABRB2	GAD1_SLC6A1	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA4_GABRD_GABRB3	GAD1_SLC6A1	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA4_GABRG2_GABRB3	GAD1_SLC6A1	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA5_GABRG2_GABRB3	GAD1_SLC6A1	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA6_GABRD_GABRB3	GAD1_SLC6A1	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRA6_GABRG2_GABRB3	GAD1_SLC6A1	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A1|GABRQ_GABRA3_GABRB3	GAD1_SLC6A1	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABBR1	GAD1_SLC6A11	GABBR1	Non-protein Signaling	GABA-B
GAD1_SLC6A11|GABBR2	GAD1_SLC6A11	GABBR2	Non-protein Signaling	GABA-B
GAD1_SLC6A11|GABRA1_GABRB2	GAD1_SLC6A11	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA1_GABRB3	GAD1_SLC6A11	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA1_GABRD_GABRB2	GAD1_SLC6A11	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA1_GABRG2_GABRB2	GAD1_SLC6A11	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA1_GABRG2_GABRB3	GAD1_SLC6A11	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA2_GABRG2_GABRB3	GAD1_SLC6A11	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA3_GABRE_GABRB3	GAD1_SLC6A11	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA3_GABRG2_GABRB3	GAD1_SLC6A11	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA4_GABRD_GABRB2	GAD1_SLC6A11	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA4_GABRD_GABRB3	GAD1_SLC6A11	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA4_GABRG2_GABRB3	GAD1_SLC6A11	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA5_GABRG2_GABRB3	GAD1_SLC6A11	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA6_GABRD_GABRB3	GAD1_SLC6A11	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRA6_GABRG2_GABRB3	GAD1_SLC6A11	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A11|GABRQ_GABRA3_GABRB3	GAD1_SLC6A11	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABBR1	GAD1_SLC6A13	GABBR1	Non-protein Signaling	GABA-B
GAD1_SLC6A13|GABBR2	GAD1_SLC6A13	GABBR2	Non-protein Signaling	GABA-B
GAD1_SLC6A13|GABRA1_GABRB2	GAD1_SLC6A13	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA1_GABRB3	GAD1_SLC6A13	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA1_GABRD_GABRB2	GAD1_SLC6A13	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA1_GABRG2_GABRB2	GAD1_SLC6A13	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA1_GABRG2_GABRB3	GAD1_SLC6A13	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA2_GABRG2_GABRB3	GAD1_SLC6A13	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA3_GABRE_GABRB3	GAD1_SLC6A13	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA3_GABRG2_GABRB3	GAD1_SLC6A13	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA4_GABRD_GABRB2	GAD1_SLC6A13	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA4_GABRD_GABRB3	GAD1_SLC6A13	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA4_GABRG2_GABRB3	GAD1_SLC6A13	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA5_GABRG2_GABRB3	GAD1_SLC6A13	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA6_GABRD_GABRB3	GAD1_SLC6A13	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRA6_GABRG2_GABRB3	GAD1_SLC6A13	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A13|GABRQ_GABRA3_GABRB3	GAD1_SLC6A13	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABBR1	GAD1_SLC6A6	GABBR1	Non-protein Signaling	GABA-B
GAD1_SLC6A6|GABBR2	GAD1_SLC6A6	GABBR2	Non-protein Signaling	GABA-B
GAD1_SLC6A6|GABRA1_GABRB2	GAD1_SLC6A6	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA1_GABRB3	GAD1_SLC6A6	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA1_GABRD_GABRB2	GAD1_SLC6A6	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA1_GABRG2_GABRB2	GAD1_SLC6A6	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA1_GABRG2_GABRB3	GAD1_SLC6A6	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA2_GABRG2_GABRB3	GAD1_SLC6A6	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA3_GABRE_GABRB3	GAD1_SLC6A6	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA3_GABRG2_GABRB3	GAD1_SLC6A6	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA4_GABRD_GABRB2	GAD1_SLC6A6	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA4_GABRD_GABRB3	GAD1_SLC6A6	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA4_GABRG2_GABRB3	GAD1_SLC6A6	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA5_GABRG2_GABRB3	GAD1_SLC6A6	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA6_GABRD_GABRB3	GAD1_SLC6A6	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRA6_GABRG2_GABRB3	GAD1_SLC6A6	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A6|GABRQ_GABRA3_GABRB3	GAD1_SLC6A6	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABBR1	GAD1_SLC6A8	GABBR1	Non-protein Signaling	GABA-B
GAD1_SLC6A8|GABBR2	GAD1_SLC6A8	GABBR2	Non-protein Signaling	GABA-B
GAD1_SLC6A8|GABRA1_GABRB2	GAD1_SLC6A8	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA1_GABRB3	GAD1_SLC6A8	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA1_GABRD_GABRB2	GAD1_SLC6A8	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA1_GABRG2_GABRB2	GAD1_SLC6A8	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA1_GABRG2_GABRB3	GAD1_SLC6A8	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA2_GABRG2_GABRB3	GAD1_SLC6A8	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA3_GABRE_GABRB3	GAD1_SLC6A8	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA3_GABRG2_GABRB3	GAD1_SLC6A8	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA4_GABRD_GABRB2	GAD1_SLC6A8	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA4_GABRD_GABRB3	GAD1_SLC6A8	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA4_GABRG2_GABRB3	GAD1_SLC6A8	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA5_GABRG2_GABRB3	GAD1_SLC6A8	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA6_GABRD_GABRB3	GAD1_SLC6A8	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRA6_GABRG2_GABRB3	GAD1_SLC6A8	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD1_SLC6A8|GABRQ_GABRA3_GABRB3	GAD1_SLC6A8	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABBR1	GAD2_SLC6A1	GABBR1	Non-protein Signaling	GABA-B
GAD2_SLC6A1|GABBR2	GAD2_SLC6A1	GABBR2	Non-protein Signaling	GABA-B
GAD2_SLC6A1|GABRA1_GABRB2	GAD2_SLC6A1	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA1_GABRB3	GAD2_SLC6A1	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA1_GABRD_GABRB2	GAD2_SLC6A1	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA1_GABRG2_GABRB2	GAD2_SLC6A1	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA1_GABRG2_GABRB3	GAD2_SLC6A1	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA2_GABRG2_GABRB3	GAD2_SLC6A1	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA3_GABRE_GABRB3	GAD2_SLC6A1	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA3_GABRG2_GABRB3	GAD2_SLC6A1	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA4_GABRD_GABRB2	GAD2_SLC6A1	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA4_GABRD_GABRB3	GAD2_SLC6A1	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA4_GABRG2_GABRB3	GAD2_SLC6A1	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA5_GABRG2_GABRB3	GAD2_SLC6A1	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA6_GABRD_GABRB3	GAD2_SLC6A1	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRA6_GABRG2_GABRB3	GAD2_SLC6A1	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A1|GABRQ_GABRA3_GABRB3	GAD2_SLC6A1	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABBR1	GAD2_SLC6A11	GABBR1	Non-protein Signaling	GABA-B
GAD2_SLC6A11|GABBR2	GAD2_SLC6A11	GABBR2	Non-protein Signaling	GABA-B
GAD2_SLC6A11|GABRA1_GABRB2	GAD2_SLC6A11	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA1_GABRB3	GAD2_SLC6A11	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA1_GABRD_GABRB2	GAD2_SLC6A11	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA1_GABRG2_GABRB2	GAD2_SLC6A11	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA1_GABRG2_GABRB3	GAD2_SLC6A11	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA2_GABRG2_GABRB3	GAD2_SLC6A11	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA3_GABRE_GABRB3	GAD2_SLC6A11	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA3_GABRG2_GABRB3	GAD2_SLC6A11	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA4_GABRD_GABRB2	GAD2_SLC6A11	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA4_GABRD_GABRB3	GAD2_SLC6A11	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA4_GABRG2_GABRB3	GAD2_SLC6A11	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA5_GABRG2_GABRB3	GAD2_SLC6A11	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA6_GABRD_GABRB3	GAD2_SLC6A11	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRA6_GABRG2_GABRB3	GAD2_SLC6A11	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A11|GABRQ_GABRA3_GABRB3	GAD2_SLC6A11	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABBR1	GAD2_SLC6A13	GABBR1	Non-protein Signaling	GABA-B
GAD2_SLC6A13|GABBR2	GAD2_SLC6A13	GABBR2	Non-protein Signaling	GABA-B
GAD2_SLC6A13|GABRA1_GABRB2	GAD2_SLC6A13	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA1_GABRB3	GAD2_SLC6A13	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA1_GABRD_GABRB2	GAD2_SLC6A13	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA1_GABRG2_GABRB2	GAD2_SLC6A13	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA1_GABRG2_GABRB3	GAD2_SLC6A13	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA2_GABRG2_GABRB3	GAD2_SLC6A13	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA3_GABRE_GABRB3	GAD2_SLC6A13	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA3_GABRG2_GABRB3	GAD2_SLC6A13	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA4_GABRD_GABRB2	GAD2_SLC6A13	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA4_GABRD_GABRB3	GAD2_SLC6A13	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA4_GABRG2_GABRB3	GAD2_SLC6A13	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA5_GABRG2_GABRB3	GAD2_SLC6A13	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA6_GABRD_GABRB3	GAD2_SLC6A13	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRA6_GABRG2_GABRB3	GAD2_SLC6A13	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A13|GABRQ_GABRA3_GABRB3	GAD2_SLC6A13	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABBR1	GAD2_SLC6A6	GABBR1	Non-protein Signaling	GABA-B
GAD2_SLC6A6|GABBR2	GAD2_SLC6A6	GABBR2	Non-protein Signaling	GABA-B
GAD2_SLC6A6|GABRA1_GABRB2	GAD2_SLC6A6	GABRA1_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA1_GABRB3	GAD2_SLC6A6	GABRA1_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA1_GABRD_GABRB2	GAD2_SLC6A6	GABRA1_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA1_GABRG2_GABRB2	GAD2_SLC6A6	GABRA1_GABRG2_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA1_GABRG2_GABRB3	GAD2_SLC6A6	GABRA1_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA2_GABRG2_GABRB3	GAD2_SLC6A6	GABRA2_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA3_GABRE_GABRB3	GAD2_SLC6A6	GABRA3_GABRE_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA3_GABRG2_GABRB3	GAD2_SLC6A6	GABRA3_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA4_GABRD_GABRB2	GAD2_SLC6A6	GABRA4_GABRD_GABRB2	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA4_GABRD_GABRB3	GAD2_SLC6A6	GABRA4_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA4_GABRG2_GABRB3	GAD2_SLC6A6	GABRA4_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA5_GABRG2_GABRB3	GAD2_SLC6A6	GABRA5_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA6_GABRD_GABRB3	GAD2_SLC6A6	GABRA6_GABRD_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRA6_GABRG2_GABRB3	GAD2_SLC6A6	GABRA6_GABRG2_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A6|GABRQ_GABRA3_GABRB3	GAD2_SLC6A6	GABRQ_GABRA3_GABRB3	Non-protein Signaling	GABA-A
GAD2_SLC6A8|GABBR1	GAD2_SLC6A8	GABBR1	Non-protein Signaling	GABA-B
