	ligand	receptor	annotation	pathway
ADCYAP1|ADCYAP1R1	ADCYAP1	ADCYAP1R1	Secreted	PACAP
ADGRE5|CD55	ADGRE5	CD55	Cell-Cell Contact	ADGRE5
ADIPOQ|ADIPOR1	ADIPOQ	ADIPOR1	Secreted	ADIPONECTIN
ADIPOQ|ADIPOR2	ADIPOQ	ADIPOR2	Secreted	ADIPONECTIN
ADM|CALCR	ADM	CALCR	Secreted	CALCR
ADM|CALCRL	ADM	CALCRL	Secreted	CALCR
ADM|CALCR_RAMP1	ADM	CALCR_RAMP1	Secreted	ADM
ADM|RAMP2_CALCR	ADM	RAMP2_CALCR	Secreted	ADM
ADM|RAMP3_CALCR	ADM	RAMP3_CALCR	Secreted	ADM
ADORA3|ENTPD1	ADORA3	ENTPD1	Cell-Cell Contact	CD39
AGT|AGTR1	AGT	AGTR1	Secreted	AGT
AGT|AGTR2	AGT	AGTR2	Secreted	AGT
AGT|MAS1	AGT	MAS1	Secreted	AGT
AKR1C3|PTGDR2	AKR1C3	PTGDR2	Non-protein Signaling	Prostaglandin
AKR1C3|PTGFR	AKR1C3	PTGFR	Non-protein Signaling	Prostaglandin
AKR1D1|AR	AKR1D1	AR	Non-protein Signaling	Testosterone
ALCAM|CD6	ALCAM	CD6	Cell-Cell Contact	ALCAM
ALDH1A1|CRABP2_RARA	ALDH1A1	CRABP2_RARA	Non-protein Signaling	RA
ALDH1A1|CRABP2_RXRA	ALDH1A1	CRABP2_RXRA	Non-protein Signaling	RA
ALDH1A1|CRABP2_RXRA_RARA	ALDH1A1	CRABP2_RXRA_RARA	Non-protein Signaling	RA
ALDH1A1|CRABP2_RXRB	ALDH1A1	CRABP2_RXRB	Non-protein Signaling	RA
ALDH1A1|CRABP2_RXRG	ALDH1A1	CRABP2_RXRG	Non-protein Signaling	RA
ALDH1A1|RARB_CRABP2	ALDH1A1	RARB_CRABP2	Non-protein Signaling	RA
ALDH1A1|RARB_CRABP2_RXRB	ALDH1A1	RARB_CRABP2_RXRB	Non-protein Signaling	RA
ALDH1A1|RARG_CRABP2	ALDH1A1	RARG_CRABP2	Non-protein Signaling	RA
ALDH1A1|RARG_CRABP2_RXRG	ALDH1A1	RARG_CRABP2_RXRG	Non-protein Signaling	RA
ALDH1A1|RORB	ALDH1A1	RORB	Non-protein Signaling	RA
ALDH1A2|CRABP2_RARA	ALDH1A2	CRABP2_RARA	Non-protein Signaling	RA
ALDH1A2|CRABP2_RXRA	ALDH1A2	CRABP2_RXRA	Non-protein Signaling	RA
ALDH1A2|CRABP2_RXRA_RARA	ALDH1A2	CRABP2_RXRA_RARA	Non-protein Signaling	RA
ALDH1A2|CRABP2_RXRB	ALDH1A2	CRABP2_RXRB	Non-protein Signaling	RA
ALDH1A2|CRABP2_RXRG	ALDH1A2	CRABP2_RXRG	Non-protein Signaling	RA
ALDH1A2|RARB_CRABP2	ALDH1A2	RARB_CRABP2	Non-protein Signaling	RA
