id;data;type;brutto;amount;ppu;km;comment;record_time
566;2023-08-13 22:00:00;electric;3.33;5.79;0.575;0;MyHyundai;2024-02-09 15:22:19
567;2023-08-23 22:00:00;electric;3.38;5.89;0.574;0;MyHyundai;2024-02-09 15:22:19
568;2023-08-24 22:00:00;electric;4.36;7.89;0.553;0;MyHyundai;2024-02-09 15:22:19
569;2023-09-04 22:00:00;electric;4.5;8.17;0.551;0;MyHyundai;2024-02-09 15:22:19
570;2023-09-06 22:00:00;electric;2.65;4.41;0.601;0;MyHyundai;2024-02-09 15:22:19
571;2023-09-09 22:00:00;electric;4.43;8.03;0.552;0;MyHyundai;2024-02-09 15:22:19
572;2023-09-12 22:00:00;electric;4.46;8.1;0.551;0;MyHyundai;2024-02-09 15:22:19
573;2023-09-17 22:00:00;electric;4.53;8.25;0.549;0;MyHyundai;2024-02-09 15:22:19
574;2023-09-18 22:00:00;electric;4.46;8.1;0.551;0;MyHyundai;2024-02-09 15:22:19
575;2023-09-19 22:00:00;electric;4.57;8.32;0.549;0;MyHyundai;2024-02-09 15:22:19
576;2023-09-23 22:00:00;electric;4.41;8.0;0.551;0;MyHyundai;2024-02-09 15:22:19
577;2023-09-26 22:00:00;electric;4.21;7.6;0.554;0;MyHyundai;2024-02-09 15:22:19
578;2023-09-28 22:00:00;electric;2.58;4.28;0.603;0;MyHyundai;2024-02-09 15:22:19
579;2023-10-06 22:00:00;electric;4.53;8.04;0.563;0;MyHyundai;2024-02-09 15:22:19
580;2023-10-09 22:00:00;electric;4.64;8.27;0.561;0;MyHyundai;2024-02-09 15:22:19
581;2023-10-11 22:00:00;electric;3.65;6.25;0.584;0;MyHyundai;2024-02-09 15:22:19
582;2023-10-13 22:00:00;electric;4.06;7.07;0.574;0;MyHyundai;2024-02-09 15:22:19
583;2023-10-18 22:00:00;electric;4.61;8.2;0.562;0;MyHyundai;2024-02-09 15:22:19
584;2023-10-22 22:00:00;electric;3.43;5.8;0.591;0;MyHyundai;2024-02-09 15:22:19
585;2023-10-26 22:00:00;electric;4.59;8.18;0.561;0;MyHyundai;2024-02-09 15:22:19
586;2023-10-03 22:00:00;electric;4.66;7.84;0.594;0;SWM;2024-02-09 15:22:19
588;2023-12-04 23:00:00;electric;17.93;36.76;0.488;0;SWM;2024-02-09 15:22:19
589;2024-01-07 23:00:00;electric;18.05;36.99;0.488;0;SWM;2024-02-09 15:22:19
590;2024-02-05 23:00:00;electric;17.64;36.16;0.488;0;SWM;2024-02-09 15:22:19
591;2023-12-20 23:00:00;benzina;62.15;37.46;1.659;48346;;2024-02-09 15:22:19
592;2024-02-05 23:00:00;TüV;154.0;1.0;154.0;48801;intretinere;2024-02-09 15:22:19
595;2023-11-01 23:00:00;intretinere;441.12;1.0;441.12;47617;inspectia 45000 Km;2024-02-11 15:27:20
599;2024-02-25 00:00:00;benzina;57.04;33.97;1.679;49126;;2024-02-26 10:55:44
